PART	SOURCE	REF	TEXT
SIGA-COD	Slidedeck PPTX	line 65	[slide16] SIGA-cod INSTALLATION NOTES | To ensure proper operation, store the detector within the recommended ranges. Allow the detector to stabilize to room temperature before applying power.  | The dust cover (supplied) must remain on the detector during installation and be removed prior to commissioning and service. The dust cover is not a substitute for removing the detector during new construction or heavy remodeling.  | Do not install detectors until after final construction cleanup (unless otherwise specified by the AHJ).
SIGA-COD	Slidedeck PPTX	line 66	[slide17] INSTALLING A SIGA-cod | Install and wire the base as described on the installation sheet supplied with the base. | Remove the serial number label from the detector and attach it to the project documentation.  | Attach the detector to the base by rotating the detector clockwise until it snaps into the locked position.  | If required by the AHJ or local codes, affix the supplied CO Warning Label (P/N 3303928) in proximity to the detector.
SIGA-COD	Slidedeck PPTX	line 67	[slide18] TESTING A SIGA-cod | Visually inspect each detector and verify that it is installed in the correct location. Make sure that factors not apparent on the plans do not adversely affect the detector.  | Remove the detector from its base and verify that the proper detector address, trouble signals, and messages are reported.  | If wired for Class A operation, verify that the detector continues to operate first with SLC_IN disconnected, and then with SLC_OUT disconnected. (Refer to the installation sheet for the base.)  | Place a momentary ground fault on the data circuit and verify operation of the ground fault detection circuitry.  | Use the fire alarm control panel to put the detector into accelerated response mode. (Refer to the panel technical reference manual for instructions.)  | Activate the CO sensor using SDI LLC model Solo C6 CO aerosol spray without covering the head or using the  | Testifire |  detector tester per the manufacturerâ€™s instructions.
SIGA-COD	Slidedeck PPTX	line 68	[slide19] SIGA-cod SPECIFICATIONS
SIGA-CR	Exam DOCX	line 280	SIGA-CR
SIGA-CR	Exam DOCX	line 72	22. SIGA-CR vs. SIGA-CRH
SIGA-CR	Slidedeck PPTX	line 129	[slide74] The SIGA-CR Control Relay Module is an addressable device that provides one Form C dry contact output relay. The relay contacts transfer when the module is activated. The module requires one address on the signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. Diagnostic LEDs provide visible indication of the state of the module through the cover plate:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CR | MODULE
SIGA-CR	Slidedeck PPTX	line 129	[slide74] The SIGA-CR Control Relay Module is an addressable device that provides one Form C dry contact output relay. The relay contacts transfer when the module is activated. The module requires one address on the signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. Diagnostic LEDs provide visible indication of the state of the module through the cover plate:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CR | MODULE
SIGA-CR	Slidedeck PPTX	line 130	[slide75] SIGA-CR INSTALLATION NOTES | The module is shipped from the factory as an assembled unit; it contains no user-serviceable parts and should not be disassembled.  | This module does not operate without electrical power. As fires frequently cause power interruption, discuss further safeguards with the local fire protection specialist.  | Install the module within the same room as the device it is controlling.
SIGA-CR	Slidedeck PPTX	line 131	[slide76] INSTALLING A SIGA-CR | Write the address assigned to the module on the label provided, and then apply the label to the module. Remove the serial number label from the module, and then attach it to the project documentation.  | Wire the module as shown in Figure 2.  | Using the self-tapping screw provided, attach the wall plate to the module. See Figure 1.  | Using the two machine screws provided, attach the wall plate and module to the electrical box.
SIGA-CR	Slidedeck PPTX	line 132	[slide77] WIRING A SIGA-CR
SIGA-CR	Slidedeck PPTX	line 133	[slide78] SIGA-CR SPECIFICATIONS
SIGA-CRB	Exam DOCX	line 85	A. SIGA-CRB. SIGA-CT1C. SIGA-RM1D. SIGA-TCDR
SIGA-CRB	Exam DOCX	line 87	A. SIGA-CRB. SIGA-CRHC. SIGA-CC1D. SIGA-UIO6
SIGA-CRC	Exam DOCX	line 79	A. SIGA-CT1B. SIGA-CRC. SIGA-RM1D. SIGA-TCDR
SIGA-CRD	Exam DOCX	line 97	A. SIGA-RELB. SIGA-RM1C. SIGA-CRD. SIGA-CC1
SIGA-CRH	Exam DOCX	line 165	A technician finds a module identified as SIGA-CRH and asks:
SIGA-CRH	Exam DOCX	line 273	SIGA-CRH â€” addressable high-power control relay designed for high-voltage/high-current relay applications.
SIGA-CRH	Exam DOCX	line 72	22. SIGA-CR vs. SIGA-CRH
SIGA-CRH	Slidedeck PPTX	line 134	[slide79] The SIGA-CRH High Power Control Relay Module is an addressable device designed for interface applications that require a high voltage, high current relay. Two identical sets of relay terminals are provided. Both sets of relay contacts transfer when the module is activated or restored. The state of the output terminals is not supervised. The module requires one address on the signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A status LED shows the state of the module through the cover plate:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CRH | MODULE
SIGA-CRH	Slidedeck PPTX	line 134	[slide79] The SIGA-CRH High Power Control Relay Module is an addressable device designed for interface applications that require a high voltage, high current relay. Two identical sets of relay terminals are provided. Both sets of relay contacts transfer when the module is activated or restored. The state of the output terminals is not supervised. The module requires one address on the signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A status LED shows the state of the module through the cover plate:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CRH | MODULE
SIGA-CRH	Slidedeck PPTX	line 136	[slide80] SIGA-CRH INSTALLATION NOTES | Install the SIGA-CRH in the same room and within 36 in. (91 cm) of the devices connected to the output terminals. Install the output wiring in conduit or provide equivalent protection against mechanical injury.  | The module is shipped from the factory as an assembled unit; it contains no user-serviceable parts and should not be disassembled.  | This module does not operate without electrical power. As fires frequently cause power interruption, discuss further safeguards with the local fire protection specialist.  | Each terminal on the module is limited to a single conductor.
SIGA-CRH	Slidedeck PPTX	line 136	[slide80] SIGA-CRH INSTALLATION NOTES | Install the SIGA-CRH in the same room and within 36 in. (91 cm) of the devices connected to the output terminals. Install the output wiring in conduit or provide equivalent protection against mechanical injury.  | The module is shipped from the factory as an assembled unit; it contains no user-serviceable parts and should not be disassembled.  | This module does not operate without electrical power. As fires frequently cause power interruption, discuss further safeguards with the local fire protection specialist.  | Each terminal on the module is limited to a single conductor.
SIGA-CRH	Slidedeck PPTX	line 137	[slide81] INSTALLING A SIGA-CRH | Write the address assigned to the module on the label provided, and then apply the label to the module. Remove the serial number label from the module, and then attach it to the project documentation.  | Verify that all field wiring is free of opens, shorts, and ground faults.  | Strip 1/4 in. (about 6 mm) from the ends of all wires that connect to the terminal block of the module. When stripping wire ends, exposing more wire may cause a ground fault; exposing less wire may result in a faulty connection.  | Use a slotted screwdriver to release the latches on the hinged terminal cover, and then swing the cover up to access the relay terminals.  | Make the wiring connections as shown in Figure 1. Use separate knockouts for the SLC wiring and the high voltage wiring. Make sure that power-limited and nonpower-limited wires will have a minimum of 0.25 in. (6.4 mm) separation when fitted into the box.  | Swing the terminal cover down and snap it back into place, one latch at a time.  | Attach the module to the electrical box, using the screws provided with the box. See Figure 2. See â€œSpecificationsâ€ for a list of compatible boxes.  | Attach the wall plate to the module, using the two self-tapping screws provided.
SIGA-CRH	Slidedeck PPTX	line 138	[slide82] WIRING A SIGA-CRH
SIGA-CRH	Slidedeck PPTX	line 139	[slide83] SIGA-CRH SPECIFICATIONS
SIGA-CRHC	Exam DOCX	line 87	A. SIGA-CRB. SIGA-CRHC. SIGA-CC1D. SIGA-UIO6
SIGA-CRHC	Exam DOCX	line 89	A. SIGA-CT2B. SIGA-CRHC. SIGA-CC1(S)D. SIGA-RM1
SIGA-CRHD	Exam DOCX	line 81	A. SIGA-CT1B. SIGA-CT2C. SIGA-CRHD. SIGA-CC1
SIGA-CT1	Exam DOCX	line 71	21. SIGA-CT1 vs. SIGA-CT2
SIGA-CT1	Slidedeck PPTX	line 122	[slide68] The SIGA-CT1 Single Input Module is an intelligent addressable device used to connect a Class B initiating device circuit (IDC) to a Signature controller module. The module requires one address on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CT1 | MODULE
SIGA-CT1	Slidedeck PPTX	line 122	[slide68] The SIGA-CT1 Single Input Module is an intelligent addressable device used to connect a Class B initiating device circuit (IDC) to a Signature controller module. The module requires one address on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CT1 | MODULE
SIGA-CT1	Slidedeck PPTX	line 125	[slide70] SIGA-CT1/CT2 INSTALLATION NOTES | The module is shipped from the factory as an assembled unit; it contains no user-serviceable parts and should not be disassembled.  | This module does not operate without electrical power. As fires frequently cause power interruption, discuss further safeguards with the local fire protection specialist.  | This module does not support conventional smoke detectors.
SIGA-CT1	Slidedeck PPTX	line 126	[slide71] INSTALLING A SIGA-CT1/CT2  | Write the address assigned to the module on the label provided, and then apply the label to the module. Remove the serial number label from the module, and then attach it to the project documentation.  | Wire the module as shown in Figure 2.  | Using the self-tapping screw provided, attach the wall plate to the module. See Figure 1.  | Using the two machine screws provided, attach the wall plate and module to the electrical box.
SIGA-CT1	Slidedeck PPTX	line 127	[slide72] WIRING A SIGA-CT1/CT2
SIGA-CT1	Slidedeck PPTX	line 128	[slide73] SIGA-CT1/CT2 SPECIFICATIONS
SIGA-CT1B	Exam DOCX	line 79	A. SIGA-CT1B. SIGA-CRC. SIGA-RM1D. SIGA-TCDR
SIGA-CT1B	Exam DOCX	line 81	A. SIGA-CT1B. SIGA-CT2C. SIGA-CRHD. SIGA-CC1
SIGA-CT1C	Exam DOCX	line 85	A. SIGA-CRB. SIGA-CT1C. SIGA-RM1D. SIGA-TCDR
SIGA-CT2	Exam DOCX	line 71	21. SIGA-CT1 vs. SIGA-CT2
SIGA-CT2	Exam DOCX	line 82	28. How many SLC addresses does the SIGA-CT2 require?
SIGA-CT2	Slidedeck PPTX	line 123	[slide69] The SIGA-CT2 Dual Input Module is an intelligent addressable device that is used to connect one or two Class B initiating device circuits (IDCs) to a Signature controller module. The module requires two addresses on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status: | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CT2 | MODULE
SIGA-CT2	Slidedeck PPTX	line 123	[slide69] The SIGA-CT2 Dual Input Module is an intelligent addressable device that is used to connect one or two Class B initiating device circuits (IDCs) to a Signature controller module. The module requires two addresses on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status: | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CT2 | MODULE
SIGA-CT2B	Exam DOCX	line 89	A. SIGA-CT2B. SIGA-CRHC. SIGA-CC1(S)D. SIGA-RM1
SIGA-CT2C	Exam DOCX	line 81	A. SIGA-CT1B. SIGA-CT2C. SIGA-CRHD. SIGA-CC1
SIGA-DDOS	Exam DOCX	line 108	40. During installation of a SIGA-DDOS, what should be verified regarding duct airflow?
SIGA-DDOS	Exam DOCX	line 272	Duct smoke detection â€” products such as SIGA-SD, SIGA-DDOS, or the SIGA-SDH housing/application should be considered based on the specific system requirement.
SIGA-DDOS	Slidedeck PPTX	line 100	[slide48] SIGA- | ddos | SIGA-DDOS Intelligent Duct Smoke Detectors detect the presence of smoke in a buildingâ€™s HVAC system under extended temperature ranges. Their primary purpose is to provide early warning of an impending fire and to prevent smoke from circulating throughout the building. SIGA-DDOS duct smoke detectors consist of an optical tube assembly and an interface board assembly mounted in a single housing, an exhaust tube, and a sampling tube. Sampling tubes are ordered separately.  | Normal: Green LED indicator flashes, no action.  | Alarm/active: Red LED indicator flashes, evacuate the area.  | DETECTOR
SIGA-DDOS	Slidedeck PPTX	line 100	[slide48] SIGA- | ddos | SIGA-DDOS Intelligent Duct Smoke Detectors detect the presence of smoke in a buildingâ€™s HVAC system under extended temperature ranges. Their primary purpose is to provide early warning of an impending fire and to prevent smoke from circulating throughout the building. SIGA-DDOS duct smoke detectors consist of an optical tube assembly and an interface board assembly mounted in a single housing, an exhaust tube, and a sampling tube. Sampling tubes are ordered separately.  | Normal: Green LED indicator flashes, no action.  | Alarm/active: Red LED indicator flashes, evacuate the area.  | DETECTOR
SIGA-DDOS	Slidedeck PPTX	line 124	[slide7] est ADDRESSABLE DUCT DETECTOR evolution | SIGA-SDH | SIGA-SD | SIGA-DDOS
SIGA-HCD	Exam DOCX	line 57	SIGA-HCD: ___________________________________
SIGA-HCD	Slidedeck PPTX	line 76	[slide26] Combination detectors | SIGA-OSHD | OSD / HRD | SIGA-HCD | HRD / COD | SIGA-OSCD | OSD / COD | SIGA-OSHCD | OSD / HRD / COD | DETECTOR
SIGA-HCDC	Exam DOCX	line 61	A. SIGA-OSDB. SIGA-HCDC. SIGA-OSCDD. SIGA-OSHCD
SIGA-HFD	Exam DOCX	line 62	18. A service technician sees a SIGA-HRD and a SIGA-HFD on the same project. What is the key functional difference between the two?
SIGA-HFD	Slidedeck PPTX	line 71	[slide21] SIGA- | hfd | The SIGA-HFD series of Signature Intelligent Heat Detector uses a fixed-temperature heat sensor to detect heat from fire. The heat sensor monitors the temperature of the air in its surroundings and the detector analyzes the data to determine whether to initiate an alarm | Normal: Green LED indicator flashes, no action.  | Alarm/active: Red LED indicator flashes, evacuate the area.  | DETECTOR
SIGA-HFDB	Exam DOCX	line 52	A. SIGA-HFDB. SIGA-HRDC. SIGA-OSDD. SIGA-COD
SIGA-HFDB	Exam DOCX	line 54	A. SIGA-HFDB. SIGA-HRDC. SIGA-OSDD. SIGA-COD
SIGA-HRD	Exam DOCX	line 271	SIGA-HRD â€” fixed-temperature and rate-of-rise heat detection.
SIGA-HRD	Exam DOCX	line 62	18. A service technician sees a SIGA-HRD and a SIGA-HFD on the same project. What is the key functional difference between the two?
SIGA-HRD	Slidedeck PPTX	line 113	[slide6] est ADDRESSABLE HEAT DETECTOR evolution | SIGA-HRS | SIGA2-HRS | SIGA-HRD
SIGA-HRD	Slidedeck PPTX	line 70	[slide20] SIGA-HRD | The SIGA-HRD series of Signature Intelligent Heat Detector uses a combination fixed temperature/rate-of-rise heat sensor to detect heat from a fire. The heat sensor monitors the temperature of the surrounding air, and the detector analyzes the data from the sensor to determine whether to initiate an alarm. The rate-of-rise heat function quickly detects a fast, flaming fire. The fixed-temperature heat function detects fire when the air temperature near the detector exceeds the alarm point.  | Normal: Green LED indicator flashes, no action.  | Alarm/active: Red LED indicator flashes, evacuate the area.  | DETECTOR
SIGA-HRD	Slidedeck PPTX	line 70	[slide20] SIGA-HRD | The SIGA-HRD series of Signature Intelligent Heat Detector uses a combination fixed temperature/rate-of-rise heat sensor to detect heat from a fire. The heat sensor monitors the temperature of the surrounding air, and the detector analyzes the data from the sensor to determine whether to initiate an alarm. The rate-of-rise heat function quickly detects a fast, flaming fire. The fixed-temperature heat function detects fire when the air temperature near the detector exceeds the alarm point.  | Normal: Green LED indicator flashes, no action.  | Alarm/active: Red LED indicator flashes, evacuate the area.  | DETECTOR
SIGA-HRDC	Exam DOCX	line 52	A. SIGA-HFDB. SIGA-HRDC. SIGA-OSDD. SIGA-COD
SIGA-HRDC	Exam DOCX	line 54	A. SIGA-HFDB. SIGA-HRDC. SIGA-OSDD. SIGA-COD
SIGA-HRS	Slidedeck PPTX	line 113	[slide6] est ADDRESSABLE HEAT DETECTOR evolution | SIGA-HRS | SIGA2-HRS | SIGA-HRD
SIGA-LED	Slidedeck PPTX	line 77	[slide27] SIGA-SB4 | The Signature Detector 4-inch Standard Base is used to mount Signature detectors on 4-inch square boxes. It provides wiring terminals for connecting a SIGA-LED and ships with a matching trim skirt.
SIGA-LED	Slidedeck PPTX	line 82	[slide31] SIGA-RB4 | The Signature Detector 4-inch Relay Base is used to mount Signature detectors on 4-inch square boxes connected to a signaling line circuit (SLC) and adds relay functionality to the detector. It does not provide connections to a SIGA-LED. The base ships with a matching trim skirt.
SIGA-OSCD	Exam DOCX	line 58	SIGA-OSCD: __________________________________
SIGA-OSCD	Slidedeck PPTX	line 76	[slide26] Combination detectors | SIGA-OSHD | OSD / HRD | SIGA-HCD | HRD / COD | SIGA-OSCD | OSD / COD | SIGA-OSHCD | OSD / HRD / COD | DETECTOR
SIGA-OSCDD	Exam DOCX	line 61	A. SIGA-OSDB. SIGA-HCDC. SIGA-OSCDD. SIGA-OSHCD
SIGA-OSD	Exam DOCX	line 45	11. What type of detection does the SIGA-OSD provide?
SIGA-OSD	Slidedeck PPTX	line 102	[slide5] est ADDRESSABLE SMOKE DETECTOR evolution | SIGA-PS | SIGA2-PS | SIGA-PD | SIGA-OSD
SIGA-OSD	Slidedeck PPTX	line 13	[slide11] SIGA-OSD INSTALLATION NOTES | This detector does not operate without electrical power. As fires frequently cause power interruption, discuss further safeguards with the local fire protection specialist.  | This detector does not sense fires in areas where smoke cannot reach the detector. Smoke from fires in walls, roofs, or on the opposite side of closed doors may not reach the detector.  | To ensure proper operation, store the detector within the recommended ranges. Allow the detector to stabilize to room temperature before applying power.  | The dust cover (supplied) must remain on the detector during installation and be removed prior to commissioning and service. The dust cover is not a substitute for removing the detector during new construction or heavy remodeling.  | Do not use smoke detectors with detector guards unless the combination has been evaluated and found suitable.  | Upon completion of the original installation and following any modifications or additions to the system, perform a calibrated sensitivity test per NFPA code. The Signature Series devices can perform this test and the panel can generate a system sensitivity report.
SIGA-OSD	Slidedeck PPTX	line 2	[slide10] SIGA-OSD | The SIGA-OSD series of Signature Intelligent Smoke Detector uses an advanced optical sensing chamber to detect smoke. The detector determines whether to signal a fire alarm condition by analyzing the data from the sensing chamber to discriminate between fire and non-fire sources.  | Normal: Green LED indicator flashes, no action.  | Alarm/active: Red LED indicator flashes, evacuate the area.  | DETECTOR
SIGA-OSD	Slidedeck PPTX	line 2	[slide10] SIGA-OSD | The SIGA-OSD series of Signature Intelligent Smoke Detector uses an advanced optical sensing chamber to detect smoke. The detector determines whether to signal a fire alarm condition by analyzing the data from the sensing chamber to discriminate between fire and non-fire sources.  | Normal: Green LED indicator flashes, no action.  | Alarm/active: Red LED indicator flashes, evacuate the area.  | DETECTOR
SIGA-OSD	Slidedeck PPTX	line 24	[slide12] INSTALLING A SIGA-OSD | Install and wire the base, as described on the installation sheet supplied with the base. | Remove the serial number label from the detector and attach it to the project documentation.  | Attach the detector to the base by rotating the detector clockwise until it snaps into the locked position.
SIGA-OSD	Slidedeck PPTX	line 35	[slide13] TESTING A SIGA-OSD | Remove the detector from its base and verify that the proper detector address, trouble signals, and messages are reported.  | For detectors placed in the air ducts, verify that the airflow is within specifications. See â€œSpecificationsâ€ below.  | If wired for Class A operation, verify that the detector continues to operate first with SLC_IN disconnected, and then with SLC_OUT disconnected. (Refer to the installation sheet for the base.)  | Place a momentary ground fault on the SLC circuit to verify operation of ground fault detection circuitry.  | Run a system detector sensitivity report on all detectors and verify that the readings fall within acceptable limits.  | If desired, use the fire alarm control panel to put the detector or zone into a service group for testing. (Refer to the panel technical reference manual for instructions.)  | Activate the smoke sensor using No Climb Products model Smoke Centurion/M8,  | FireTech |  Smoke or Smoke Sabre smoke aerosol spray, a smoke generator, or the  | Testifire |  detector tester per the manufacturerâ€™s instructions.
SIGA-OSD	Slidedeck PPTX	line 46	[slide14] SIGA-OSD SPECIFICATIONS
SIGA-OSDB	Exam DOCX	line 61	A. SIGA-OSDB. SIGA-HCDC. SIGA-OSCDD. SIGA-OSHCD
SIGA-OSDD	Exam DOCX	line 52	A. SIGA-HFDB. SIGA-HRDC. SIGA-OSDD. SIGA-COD
SIGA-OSDD	Exam DOCX	line 54	A. SIGA-HFDB. SIGA-HRDC. SIGA-OSDD. SIGA-COD
SIGA-OSHCD	Exam DOCX	line 59	SIGA-OSHCD: _________________________________
SIGA-OSHCD	Exam DOCX	line 61	A. SIGA-OSDB. SIGA-HCDC. SIGA-OSCDD. SIGA-OSHCD
SIGA-OSHCD	Slidedeck PPTX	line 76	[slide26] Combination detectors | SIGA-OSHD | OSD / HRD | SIGA-HCD | HRD / COD | SIGA-OSCD | OSD / COD | SIGA-OSHCD | OSD / HRD / COD | DETECTOR
SIGA-OSHD	Exam DOCX	line 56	SIGA-OSHD: __________________________________
SIGA-OSHD	Slidedeck PPTX	line 76	[slide26] Combination detectors | SIGA-OSHD | OSD / HRD | SIGA-HCD | HRD / COD | SIGA-OSCD | OSD / COD | SIGA-OSHCD | OSD / HRD / COD | DETECTOR
SIGA-PD	Slidedeck PPTX	line 102	[slide5] est ADDRESSABLE SMOKE DETECTOR evolution | SIGA-PS | SIGA2-PS | SIGA-PD | SIGA-OSD
SIGA-PS	Slidedeck PPTX	line 102	[slide5] est ADDRESSABLE SMOKE DETECTOR evolution | SIGA-PS | SIGA2-PS | SIGA-PD | SIGA-OSD
SIGA-RB4	Exam DOCX	line 131	A. G1 SeriesB. G4S SeriesC. SIGA-AB4-LFD. SIGA-RB4
SIGA-RB4	Exam DOCX	line 278	SIGA-RB4
SIGA-RB4	Exam DOCX	line 73	23. SIGA-SB4 vs. SIGA-RB4
SIGA-RB4	Slidedeck PPTX	line 82	[slide31] SIGA-RB4 | The Signature Detector 4-inch Relay Base is used to mount Signature detectors on 4-inch square boxes connected to a signaling line circuit (SLC) and adds relay functionality to the detector. It does not provide connections to a SIGA-LED. The base ships with a matching trim skirt.
SIGA-RB4	Slidedeck PPTX	line 83	[slide32] INSTALLING A SIGA-RB4 | Mount the detector base on a compatible electrical box using the screws provided with the electrical box.  | Wire the base as shown in the â€œWiringâ€ below section.  | Write the address assigned to the detector on the label provided and apply the label to the inside rim of the base.  | Install the trim skirt to finish the installation.
SIGA-RB4	Slidedeck PPTX	line 84	[slide33] WIRING A SIGA-RB4
SIGA-RB4	Slidedeck PPTX	line 85	[slide34] SIGA-RB4 SPECIFICATIONS
SIGA-REL	Exam DOCX	line 276	SIGA-REL
SIGA-REL	Slidedeck PPTX	line 10	[slide107] INSTALLING A SIGA-REL | Install the 47  | kÎ© |  test resistors provided in hardware kit P/N 7300013 on TB3, TB4, and TB5. See Figure 4.  | Configure the DIP switches as required. See Table 2, Table 3, Table 4, and Table 5.  | Mount the SIGA-REL in the enclosure. Use the four #6 self-tapping screws and the four #6 flat washers provided in hardware kit P/N 235493. Figure 3 shows the typical mounting in an MFC-A cabinet. Use the provided drill template (P/N 260591) when mounting the SIGA-REL inside enclosures that do not provide predetermined mounting holes.  | Connect the field wires. Do not connect the releasing device circuits until after you have thoroughly tested the device.
SIGA-REL	Slidedeck PPTX	line 10	[slide107] INSTALLING A SIGA-REL | Install the 47  | kÎ© |  test resistors provided in hardware kit P/N 7300013 on TB3, TB4, and TB5. See Figure 4.  | Configure the DIP switches as required. See Table 2, Table 3, Table 4, and Table 5.  | Mount the SIGA-REL in the enclosure. Use the four #6 self-tapping screws and the four #6 flat washers provided in hardware kit P/N 235493. Figure 3 shows the typical mounting in an MFC-A cabinet. Use the provided drill template (P/N 260591) when mounting the SIGA-REL inside enclosures that do not provide predetermined mounting holes.  | Connect the field wires. Do not connect the releasing device circuits until after you have thoroughly tested the device.
SIGA-REL	Slidedeck PPTX	line 10	[slide107] INSTALLING A SIGA-REL | Install the 47  | kÎ© |  test resistors provided in hardware kit P/N 7300013 on TB3, TB4, and TB5. See Figure 4.  | Configure the DIP switches as required. See Table 2, Table 3, Table 4, and Table 5.  | Mount the SIGA-REL in the enclosure. Use the four #6 self-tapping screws and the four #6 flat washers provided in hardware kit P/N 235493. Figure 3 shows the typical mounting in an MFC-A cabinet. Use the provided drill template (P/N 260591) when mounting the SIGA-REL inside enclosures that do not provide predetermined mounting holes.  | Connect the field wires. Do not connect the releasing device circuits until after you have thoroughly tested the device.
SIGA-REL	Slidedeck PPTX	line 11	[slide108] WIRING A SIGA-REL
SIGA-REL	Slidedeck PPTX	line 12	[slide109] WIRING A SIGA-REL
SIGA-REL	Slidedeck PPTX	line 14	[slide110] WIRING A SIGA-REL
SIGA-REL	Slidedeck PPTX	line 15	[slide111] WIRING A SIGA-REL
SIGA-REL	Slidedeck PPTX	line 16	[slide112] WIRING A SIGA-REL
SIGA-REL	Slidedeck PPTX	line 17	[slide113] SIGA-REL SPECIFICATIONS
SIGA-REL	Slidedeck PPTX	line 18	[slide114] SIGA-REL SPECIFICATIONS
SIGA-REL	Slidedeck PPTX	line 19	[slide115] SIGA-REL SPECIFICATIONS
SIGA-REL	Slidedeck PPTX	line 8	[slide105] The SIGA-REL is an addressable device that is used to actuate solenoid valves in fire suppression system applications. The SIGA-REL includes the following features:  | One manual release switch input  | One manual abort switch input  | Two prerelease (predischarge) signaling circuits  | Two releasing device circuits  | One prerelease output relay  | Field-configurable delays for the automatic release sequence, the manual release sequence, and the manual abort sequence  | Field-configurable abort modes  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-REL | MODULE
SIGA-REL	Slidedeck PPTX	line 8	[slide105] The SIGA-REL is an addressable device that is used to actuate solenoid valves in fire suppression system applications. The SIGA-REL includes the following features:  | One manual release switch input  | One manual abort switch input  | Two prerelease (predischarge) signaling circuits  | Two releasing device circuits  | One prerelease output relay  | Field-configurable delays for the automatic release sequence, the manual release sequence, and the manual abort sequence  | Field-configurable abort modes  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-REL | MODULE
SIGA-REL	Slidedeck PPTX	line 8	[slide105] The SIGA-REL is an addressable device that is used to actuate solenoid valves in fire suppression system applications. The SIGA-REL includes the following features:  | One manual release switch input  | One manual abort switch input  | Two prerelease (predischarge) signaling circuits  | Two releasing device circuits  | One prerelease output relay  | Field-configurable delays for the automatic release sequence, the manual release sequence, and the manual abort sequence  | Field-configurable abort modes  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-REL | MODULE
SIGA-REL	Slidedeck PPTX	line 9	[slide106] SIGA-REL INSTALLATION NOTES | Install the SIGA-REL only in an enclosure dedicated to the releasing device service. See â€œSpecificationsâ€ on page 5 for a list of compatible enclosures.  | Maintain a minimum clearance of 1 in. (25.4 mm) all around the SIGA-REL. The clearance space must also comply with NFPA 70 National Electrical Code, or with C22.1 Canadian Electrical Code, Part I.  | Installations that include other wiring require FPL, FPLR, FPLP, or equivalent NEC-approved wiring for all power-limited wiring.  | The SIGA-REL ships with 47  | kÎ© |  test resistors to prevent unused circuits from activating trouble events. When connecting the field wiring, remove the test resistors and terminate the circuits with UL/ULC Listed EOLRs.
SIGA-REL	Slidedeck PPTX	line 9	[slide106] SIGA-REL INSTALLATION NOTES | Install the SIGA-REL only in an enclosure dedicated to the releasing device service. See â€œSpecificationsâ€ on page 5 for a list of compatible enclosures.  | Maintain a minimum clearance of 1 in. (25.4 mm) all around the SIGA-REL. The clearance space must also comply with NFPA 70 National Electrical Code, or with C22.1 Canadian Electrical Code, Part I.  | Installations that include other wiring require FPL, FPLR, FPLP, or equivalent NEC-approved wiring for all power-limited wiring.  | The SIGA-REL ships with 47  | kÎ© |  test resistors to prevent unused circuits from activating trouble events. When connecting the field wiring, remove the test resistors and terminate the circuits with UL/ULC Listed EOLRs.
SIGA-REL	Slidedeck PPTX	line 9	[slide106] SIGA-REL INSTALLATION NOTES | Install the SIGA-REL only in an enclosure dedicated to the releasing device service. See â€œSpecificationsâ€ on page 5 for a list of compatible enclosures.  | Maintain a minimum clearance of 1 in. (25.4 mm) all around the SIGA-REL. The clearance space must also comply with NFPA 70 National Electrical Code, or with C22.1 Canadian Electrical Code, Part I.  | Installations that include other wiring require FPL, FPLR, FPLP, or equivalent NEC-approved wiring for all power-limited wiring.  | The SIGA-REL ships with 47  | kÎ© |  test resistors to prevent unused circuits from activating trouble events. When connecting the field wiring, remove the test resistors and terminate the circuits with UL/ULC Listed EOLRs.
